Task,Algorithm,Feature,Mean_Importance,Std_Importance,Overall_Mean_Importance,Overall_Std_Importance
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window75,0.04652629857172213,0.00536703762109463,0.062119707637031785,0.04579853703530637
Classification,Random Forest,hIndexModificationsPerCoveredLine_window75,0.04540883198491268,0.006395136110621354,0.062119707637031785,0.04579853703530637
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window75,0.02184646132194601,0.0030868890233777765,0.062119707637031785,0.04579853703530637
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window50,0.0769174946561543,0.028516243995758445,0.04877149724889271,0.022588326089050315
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window50,0.05908228127140481,0.005556896843358973,0.04877149724889271,0.022588326089050315
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window50,0.054436604547846136,0.009545494763508596,0.04877149724889271,0.022588326089050315
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window50,0.04965081018418457,0.003695796842802948,0.04877149724889271,0.022588326089050315
Classification,Random Forest,hIndexModificationsPerCoveredLine_window50,0.03439180636175046,0.0029918862751508297,0.04877149724889271,0.022588326089050315
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window50,0.018149986472015937,0.00696067522969519,0.04877149724889271,0.022588326089050315
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window100,0.10174603306766895,0.029611392061697557,0.04581704338043122,0.036723303759063526
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window100,0.06791117346738006,0.004265120399538506,0.04581704338043122,0.036723303759063526
Classification,Random Forest,hIndexModificationsPerCoveredLine_window100,0.06335036354502817,0.00900422305003326,0.04581704338043122,0.036723303759063526
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window100,0.020879257641183136,0.006768308118490881,0.04581704338043122,0.036723303759063526
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window100,0.012341466155078565,0.0017625139647425975,0.04581704338043122,0.036723303759063526
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window100,0.008673966406248462,0.0027731559557318897,0.04581704338043122,0.036723303759063526
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window25,0.06248432934423162,0.018266106116347085,0.04090269335575646,0.01640842738177369
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window25,0.045704658676755223,0.017419184765495754,0.04090269335575646,0.01640842738177369
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window25,0.040269190348733865,0.008453338078597527,0.04090269335575646,0.01640842738177369
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window25,0.03644289825160543,0.0029159554922988987,0.04090269335575646,0.01640842738177369
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window25,0.03111975204831381,0.013455248597300672,0.04090269335575646,0.01640842738177369
Classification,Random Forest,hIndexModificationsPerCoveredLine_window25,0.02939533146489884,0.0025628553001957087,0.04090269335575646,0.01640842738177369
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window10000,0.046708855164454416,0.00956543774083103,0.030755458749991416,0.013054784706314883
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window10000,0.03944107748821574,0.0020205622812678407,0.030755458749991416,0.013054784706314883
Classification,Random Forest,hIndexModificationsPerCoveredLine_window10000,0.037217080562075296,0.00239927538777358,0.030755458749991416,0.013054784706314883
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window10000,0.022390020579429414,0.00947565472187344,0.030755458749991416,0.013054784706314883
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window10000,0.0215483391533403,0.01005028436744032,0.030755458749991416,0.013054784706314883
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window10000,0.017227379552433315,0.005212546258611306,0.030755458749991416,0.013054784706314883
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window500,0.058115505324659526,0.003786754851113855,0.029551383352874924,0.01655549403495918
Classification,Random Forest,hIndexModificationsPerCoveredLine_window500,0.038378668393646016,0.0016501436650748207,0.029551383352874924,0.01655549403495918
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window500,0.028911650301339364,0.004773955935520651,0.029551383352874924,0.01655549403495918
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window500,0.027218375647045392,0.004545693936308384,0.029551383352874924,0.01655549403495918
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window500,0.017483846423231728,0.0033025744379635946,0.029551383352874924,0.01655549403495918
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window500,0.007200254027327538,0.004540597242966753,0.029551383352874924,0.01655549403495918
Regression,Extra Trees Regressor,numAsserts,0.05301628560709826,0.001967280097105366,0.02923055225150882,0.01642487015599274
Regression,Random Forest Regressor,numAsserts,0.037982774272856776,0.00347183812779447,0.02923055225150882,0.01642487015599274
Classification,Extra Trees,numAsserts,0.0360691260290277,0.0019662540204923003,0.02923055225150882,0.01642487015599274
Classification,Random Forest,numAsserts,0.029699942419619586,0.0015726510684467311,0.02923055225150882,0.01642487015599274
Regression,Gradient Boosting Regressor,numAsserts,0.014505972346840793,0.007003619008277327,0.02923055225150882,0.01642487015599274
Classification,Gradient Boosting,numAsserts,0.00410921283360984,0.0013822874849118046,0.02923055225150882,0.01642487015599274
Classification,Extra Trees,num_third_party_libs,0.03523247051990158,0.0022024520108957033,0.023588670740481557,0.01219066837528961
Classification,Random Forest,num_third_party_libs,0.03163524216040444,0.002278017993838986,0.023588670740481557,0.01219066837528961
Regression,Extra Trees Regressor,num_third_party_libs,0.02903462120289201,0.002064336054002256,0.023588670740481557,0.01219066837528961
