Project_ID,Project,Algorithm,Test_Samples,Flaky_Samples,MCC,Macro_F1,F1-Score,Precision,Recall,AUC-PR
E03,commons-exec,Logistic Regression,55,1,0.24459979523511424,0.5089285714285714,0.14285714285714285,0.07692307692307693,1.0,0.16666666666666666
E03,commons-exec,Naive Bayes,55,1,-0.038110796698335295,0.47619047619047616,0.0,0.0,0.0,0.2
E03,commons-exec,KNN,55,1,0.0,0.4954128440366973,0.0,0.0,0.0,0.5
E04,hbase,Random Forest,431,145,0.0,0.398884239888424,0.0,0.0,0.0,0.6559699821404668
E04,hbase,Extra Trees,431,145,0.0,0.398884239888424,0.0,0.0,0.0,0.6075666306352352
E04,hbase,Gradient Boosting,431,145,0.3547310663001663,0.6541775684632828,0.4888888888888889,0.6875,0.3793103448275862,0.6510789810940573
E04,hbase,Logistic Regression,431,145,0.40205319392870775,0.691269451823776,0.6253687315634219,0.5463917525773195,0.7310344827586207,0.6989922760297761
E04,hbase,Naive Bayes,431,145,0.43641899028643716,0.7179185111142843,0.6308724832214765,0.6143790849673203,0.6482758620689655,0.623358410753874
E04,hbase,KNN,431,145,-0.05961282832874861,0.3963585434173669,0.0,0.0,0.0,0.3976516303122432
E05,httpcore,Random Forest,712,22,-0.009477037923616989,0.49142857142857144,0.0,0.0,0.0,0.2956028851239504
E05,httpcore,Extra Trees,712,22,-0.006696563550883317,0.4917915774446824,0.0,0.0,0.0,0.12502528473991337
E05,httpcore,Gradient Boosting,712,22,0.4902604226532565,0.6931695755225167,0.42857142857142855,0.27631578947368424,0.9545454545454546,0.48249841680112066
E05,httpcore,Logistic Regression,712,22,0.25759741575773104,0.589215355172802,0.24074074074074073,0.1511627906976744,0.5909090909090909,0.14207111947271847
E05,httpcore,Naive Bayes,712,22,0.21812831081382392,0.5848742295518907,0.2222222222222222,0.14705882352941177,0.45454545454545453,0.22378567307243288
E05,httpcore,KNN,712,22,-0.011615136148474243,0.4910650464617584,0.0,0.0,0.0,0.038885597548518905
E06,incubator-dubbo,Random Forest,2176,19,-0.004027650830020208,0.49734349734349736,0.0,0.0,0.0,0.05285296834433141
E06,incubator-dubbo,Extra Trees,2176,19,-0.0053317646622763224,0.49699491447064265,0.0,0.0,0.0,0.03890237689687468
E06,incubator-dubbo,Gradient Boosting,2176,19,0.11146405179700856,0.5232632249840663,0.08333333333333333,0.04697986577181208,0.3684210526315789,0.09120813628384303
E06,incubator-dubbo,Logistic Regression,2176,19,0.08952713314175183,0.49827795263985475,0.05904059040590406,0.031746031746031744,0.42105263157894735,0.07291591423032731
E06,incubator-dubbo,Naive Bayes,2176,19,0.035045316008595985,0.5096902370770592,0.041237113402061855,0.02564102564102564,0.10526315789473684,0.036877224050002884
E06,incubator-dubbo,KNN,2176,19,0.07091886779270602,0.5327078102286243,0.07142857142857142,0.1111111111111111,0.05263157894736842,0.05737131375676268
E07,achilles,Random Forest,1317,4,0.0,0.49923954372623575,0.0,0.0,0.0,0.020282924679652696
E07,achilles,Extra Trees,1317,4,0.0,0.49923954372623575,0.0,0.0,0.0,0.010411622276029056
E07,achilles,Gradient Boosting,1317,4,0.006038694716690848,0.44577286215268414,0.007272727272727273,0.0036900369003690036,0.25,0.007662486007256433
E07,achilles,Logistic Regression,1317,4,0.03607535850438784,0.36990383498164864,0.01060070671378092,0.005338078291814947,0.75,0.009896607753503296
E07,achilles,Naive Bayes,1317,4,-0.014314596115219529,0.4829210836277974,0.0,0.0,0.0,0.008588870427742909
E07,achilles,KNN,1317,4,-0.0045784135197488585,0.4975200305227013,0.0,0.0,0.0,0.04697314833989094
E08,elastic-job-lite,Random Forest,558,3,0.0,0.49865229110512127,0.0,0.0,0.0,0.019610903037869328
E08,elastic-job-lite,Extra Trees,558,3,0.0,0.49865229110512127,0.0,0.0,0.0,0.06025213199851687
E08,elastic-job-lite,Gradient Boosting,558,3,-0.00624725522713481,0.49684400360685305,0.0,0.0,0.0,0.034416491963661776
E08,elastic-job-lite,Logistic Regression,558,3,-0.011794477433664763,0.49226569608735216,0.0,0.0,0.0,0.04686622773439494
E08,elastic-job-lite,Naive Bayes,558,3,-0.00624725522713481,0.49684400360685305,0.0,0.0,0.0,0.1810966810966811
E08,elastic-job-lite,KNN,558,3,0.0,0.49865229110512127,0.0,0.0,0.0,0.005376344086021506
E09,jimfs,Random Forest,212,0,0.0,1.0,0.0,0.0,0.0,
E09,jimfs,Extra Trees,212,0,0.0,1.0,0.0,0.0,0.0,
E09,jimfs,Gradient Boosting,212,0,0.0,0.49038461538461536,0.0,0.0,0.0,
E09,jimfs,Logistic Regression,212,0,0.0,0.06607929515418502,0.0,0.0,0.0,
E09,jimfs,Naive Bayes,212,0,0.0,0.4191780821917808,0.0,0.0,0.0,
E09,jimfs,KNN,212,0,0.0,1.0,0.0,0.0,0.0,
E10,hector,Random Forest,142,33,0.0,0.4342629482071713,0.0,0.0,0.0,0.46387910340431593
E10,hector,Extra Trees,142,33,0.0,0.4342629482071713,0.0,0.0,0.0,0.422043666184617
E10,hector,Gradient Boosting,142,33,0.3925073305220281,0.6867647058823529,0.55,0.46808510638297873,0.6666666666666666,0.49220192380567795
E10,hector,Logistic Regression,142,33,-0.05733088115523726,0.47130312609764663,0.18461538461538463,0.1875,0.18181818181818182,0.2673214212244871
E10,hector,Naive Bayes,142,33,0.20797836445593923,0.5873504273504273,0.32,0.47058823529411764,0.24242424242424243,0.5109050015441093
E10,hector,KNN,142,33,0.03510994985411321,0.4592293906810036,0.05555555555555555,0.3333333333333333,0.030303030303030304,0.27706643903827
E11,handlebars.java,Random Forest,427,1,0.0,0.49941383352872215,0.0,0.0,0.0,0.003424657534246575
E11,handlebars.java,Extra Trees,427,1,0.0,0.49941383352872215,0.0,0.0,0.0,0.0033112582781456954
E11,handlebars.java,Gradient Boosting,427,1,0.06165997746692589,0.3887062566277837,0.012195121951219513,0.006134969325153374,1.0,0.006666666666666667
E11,handlebars.java,Logistic Regression,427,1,-0.017644506965186293,0.46824408468244083,0.0,0.0,0.0,0.01818181818181818
E11,handlebars.java,Naive Bayes,427,1,-0.01283476047760865,0.4824242424242424,0.0,0.0,0.0,0.02564102564102564
E11,handlebars.java,KNN,427,1,0.0,0.49941383352872215,0.0,0.0,0.0,0.00234192037470726
E12,assertj-core,Random Forest,6261,1,-0.000276729642063495,0.4998402300687011,0.0,0.0,0.0,0.00015971889474524837
E12,assertj-core,Extra Trees,6261,1,0.0,0.49996006708729335,0.0,0.0,0.0,0.00015971889474524837
E12,assertj-core,Gradient Boosting,6261,1,-0.0029860665572207477,0.4863822805578343,0.0,0.0,0.0,0.00020777062123415748
E12,assertj-core,Logistic Regression,6261,1,-0.00694183043946996,0.43441734417344174,0.0,0.0,0.0,0.0002594706798131811
E12,assertj-core,Naive Bayes,6261,1,-0.002085835345120487,0.4932416025900445,0.0,0.0,0.0,0.0024096385542168677
E12,assertj-core,KNN,6261,1,-0.0003195654002466485,0.4998002716305824,0.0,0.0,0.0,0.00015971889474524837
E13,http-request,Random Forest,163,18,0.0,0.4707792207792208,0.0,0.0,0.0,0.11465597853634664
E13,http-request,Extra Trees,163,18,0.0,0.4707792207792208,0.0,0.0,0.0,0.149368304084919
E13,http-request,Gradient Boosting,163,18,-0.04824506406770077,0.46557377049180326,0.0,0.0,0.0,0.1623346111517957
E13,http-request,Logistic Regression,163,18,0.17899909136385325,0.43790768208068476,0.26548672566371684,0.15789473684210525,0.8333333333333334,0.4305550528763723
E13,http-request,Naive Bayes,163,18,0.21576331258816817,0.47756410256410253,0.28846153846153844,0.1744186046511628,0.8333333333333334,0.1621178705846256
E13,http-request,KNN,163,18,0.0,0.4707792207792208,0.0,0.0,0.0,0.20909731609534044
E14,ninja,Random Forest,306,1,0.0,0.49918166939443537,0.0,0.0,0.0,0.07142857142857142
E14,ninja,Extra Trees,306,1,0.0,0.49918166939443537,0.0,0.0,0.0,0.05
E14,ninja,Gradient Boosting,306,1,0.156812512046795,0.4965922444183314,0.05405405405405406,0.027777777777777776,1.0,0.05263157894736842
E14,ninja,Logistic Regression,306,1,0.09463835075183205,0.4354886464572847,0.024096385542168676,0.012195121951219513,1.0,0.02040816326530612
E14,ninja,Naive Bayes,306,1,-0.0215612771281553,0.46596858638743455,0.0,0.0,0.0,0.007874015748031496
E14,ninja,KNN,306,1,-0.008097763301789159,0.49421487603305786,0.0,0.0,0.0,0.0032679738562091504
E15,orbit,Random Forest,86,7,0.0,0.47878787878787876,0.0,0.0,0.0,0.1759930810445554
E15,orbit,Extra Trees,86,7,0.0,0.47878787878787876,0.0,0.0,0.0,0.15574425574425574
E15,orbit,Gradient Boosting,86,7,0.28882664801602487,0.5868222374742622,0.3225806451612903,0.20833333333333334,0.7142857142857143,0.18801025890691545
E15,orbit,Logistic Regression,86,7,0.03242370962718242,0.328125,0.15625,0.08771929824561403,0.7142857142857143,0.13996537362676467
E15,orbit,Naive Bayes,86,7,0.21430245731924266,0.5931882686849574,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.17967706896278324
E15,orbit,KNN,86,7,-0.04593152121746254,0.4723926380368098,0.0,0.0,0.0,0.12256530519184418
E16,logback,Random Forest,842,22,0.0,0.49338146811071,0.0,0.0,0.0,0.047586965278836574
E16,logback,Extra Trees,842,22,0.0,0.49338146811071,0.0,0.0,0.0,0.05799976145575971
